dfnvarn,dfname,var,Intercept,b1,b2,b3,llnb3,r2
mlt20cFEV1,mlt20c,FEV1,-0.7453,-0.04106,0.004477,0.00014098,0.00011607,0.851
mlt20cFEV6,mlt20c,FEV6,-0.3119,-0.18612,0.009717,0.00018188,0.00015323,0.8692
mlt20cFVC,mlt20c,FVC,-0.2584,-0.20415,0.010133,0.00018642,0.00015695,0.8668
mlt20cPEF,mlt20c,PEF,-0.5962,-0.12357,0.013135,0.00024962,0.00017635,0.7808
mlt20cMMEF,mlt20c,MMEF,-1.0863,0.13939,0,0.00010345,0.00005294,0.5601
m20overcFEV1,m20overc,FEV1,0.5536,-0.01303,-0.000172,0.00014098,0.00011607,0.851
m20overcFEV6,m20overc,FEV6,0.1102,-0.00842,-0.000223,0.00018188,0.00015323,0.8692
m20overcFVC,m20overc,FVC,-0.1933,0.00064,-0.000269,0.00018642,0.00015695,0.8668
m20overcPEF,m20overc,PEF,1.0523,0.08272,-0.001301,0.00024962,0.00017635,0.7808
m20overcMMEF,m20overc,MMEF,2.7006,-0.04995,0,0.00010345,0.00005294,0.5601
mlt20bFEV1,mlt20b,FEV1,-0.7048,-0.05711,0.004316,0.00013194,0.00010561,0.808
mlt20bFEV6,mlt20b,FEV6,-0.5525,-0.14107,0.007241,0.00016429,0.00013499,0.8297
mlt20bFVC,mlt20b,FVC,-0.4971,-0.15497,0.007701,0.00016643,0.0001367,0.8303
mlt20bPEF,mlt20b,PEF,-0.2684,-0.28016,0.018202,0.00027333,0.00018938,0.7299
mlt20bMMEF,mlt20b,MMEF,-1.1627,0.12314,0,0.00010461,0.00004819,0.4724
m20overbFEV1,m20overb,FEV1,0.3411,-0.02309,0,0.00013194,0.00010561,0.808
m20overbFEV6,m20overb,FEV6,-0.0547,-0.02114,0,0.00016429,0.00013499,0.8297
m20overbFVC,m20overb,FVC,-0.1517,-0.01821,0,0.00016643,0.0001367,0.8303
m20overbPEF,m20overb,PEF,2.2257,-0.04082,0,0.00027333,0.00018938,0.7299
m20overbMMEF,m20overb,MMEF,2.1477,-0.04238,0,0.00010461,0.00004819,0.4724
mlt20maFEV1,mlt20ma,FEV1,-0.8218,-0.04248,0.004291,0.00015104,0.0001267,0.8536
mlt20maFEV6,mlt20ma,FEV6,-0.6646,-0.1127,0.007306,0.0001784,0.00015029,0.8657
mlt20maFEV6,mlt20ma,FEV6,-0.6646,-0.1127,0.007306,0.0001784,0.00015029,0.8657
mlt20maPEF,mlt20ma,PEF,-0.9537,-0.19602,0.014497,0.00030243,0.00021833,0.753
mlt20maMMEF,mlt20ma,MMEF,-1.3592,0.10529,0,0.00014473,0.0000902,0.5482
m20overmaFEV1,m20overma,FEV1,0.6306,-0.02928,0,0.00015104,0.0001267,0.8536
m20overmaFEV6,m20overma,FEV6,0.5757,-0.0286,0,0.0001784,0.00015029,0.8657
m20overmaFVC,m20overma,FVC,0.2376,-0.00891,-0.000182,0.00017823,0.00014947,0.8641
m20overmaPEF,m20overma,PEF,0.087,0.0658,-0.001195,0.00030243,0.00021833,0.753
m20overmaMMEF,m20overma,MMEF,1.7503,-0.05018,0,0.00014473,0.0000902,0.5482
flt18cFEV1,flt18c,FEV1,-0.871,0.06537,0,0.00011496,0.00009283,0.7494
flt18cFEV6,flt18c,FEV6,-1.1925,0.06544,0,0.00014395,0.00011827,0.7457
flt18cFVC,flt18c,FVC,-1.2082,0.05916,0,0.00014815,0.00012198,0.7344
flt18cPEF,flt18c,PEF,-3.6181,0.60644,-0.016846,0.00018623,0.00012148,0.5559
flt18cMMEF,flt18c,MMEF,-2.5284,0.5249,-0.015309,0.00006982,0.00002302,0.5005
f18overcFEV1,f18overc,FEV1,0.4333,-0.00361,-0.000194,0.00011496,0.00009283,0.7494
f18overcFEV6,f18overc,FEV6,-0.1373,0.01317,-0.000352,0.00014395,0.00011827,0.7457
f18overcFVC,f18overc,FVC,-0.356,0.0187,-0.000382,0.00014815,0.00012198,0.7344
f18overcPEF,f18overc,PEF,0.9267,0.06929,-0.001031,0.00018623,0.00012148,0.5559
f18overcMMEF,f18overc,MMEF,2.367,-0.01904,-0.0002,0.00006982,0.00002302,0.5005
flt18bFEV1,flt18b,FEV1,-0.963,0.05799,0,0.00010846,0.00008546,0.6687
flt18bFEV6,flt18b,FEV6,-0.637,-0.04243,0.003508,0.00013497,0.00010848,0.6615
flt18bFVC,flt18b,FVC,-0.6166,-0.04687,0.003602,0.00013606,0.00010916,0.6536
flt18bPEF,flt18b,PEF,-1.2398,0.16375,0,0.00019746,0.0001216,0.4736
flt18bMMEF,flt18b,MMEF,-2.5379,0.43755,-0.012154,0.00008572,0.0000338,0.3787
f18overbFEV1,f18overb,FEV1,0.3433,-0.01283,-0.000097,0.00010846,0.00008546,0.6687
f18overbFEV6,f18overb,FEV6,-0.1981,0.00047,-0.00023,0.00013497,0.00010848,0.6615
f18overbFVC,f18overb,FVC,-0.3039,0.00536,-0.000265,0.00013606,0.00010916,0.6536
f18overbPEF,f18overb,PEF,1.3597,0.03458,-0.000847,0.00019746,0.0001216,0.4736
f18overbMMEF,f18overb,MMEF,2.0828,-0.03793,0,0.00008572,0.0000338,0.3787
flt18maFEV1,flt18ma,FEV1,-0.9641,0.0649,0,0.00012154,0.0000989,0.7268
flt18maFEV6,flt18ma,FEV6,-1.241,0.07625,0,0.00014106,0.0001148,0.7208
flt18maFVC,flt18ma,FVC,-1.2507,0.07501,0,0.00014246,0.0001157,0.7103
flt18maPEF,flt18ma,PEF,-3.2549,0.47495,-0.013193,0.00022203,0.00014611,0.4669
flt18maMMEF,flt18ma,MMEF,-2.1825,0.42451,-0.012415,0.0000961,0.00004594,0.4305
f18overmaFEV1,f18overma,FEV1,0.4529,-0.01178,-0.000113,0.00012154,0.0000989,0.7268
f18overmaFEV6,f18overma,FEV6,0.2033,0.0002,-0.000232,0.00014106,0.0001148,0.7208
f18overmaFVC,f18overma,FVC,0.121,0.00307,-0.000237,0.00014246,0.0001157,0.7103
f18overmaPEF,f18overma,PEF,0.2401,0.06174,-0.001023,0.00022203,0.00014611,0.4669
f18overmaMMEF,f18overma,MMEF,1.7456,-0.01195,-0.000291,0.0000961,0.00004594,0.4305