dfnvarn,dfname,var,intercept,slope,llnintercept,r2
m20overbFEV1OFEV6, m20overb,FEV1OFEV6,88.841,-0.1305,78.979,0.0937
m20overbFEV1OFVC, m20overb,FEV1OFVC,89.239,-0.1828,78.822,0.1538
m20overcFEV1OFEV6, m20overc,FEV1OFEV6,87.34,-0.1382,78.372,0.2151
m20overcFEV1OFVC, m20overc,FEV1OFVC,88.066,-0.2066,78.388,0.3448
m20overmaFEV1OFEV6, m20overma,FEV1OFEV6,89.388,-0.1534,80.81,0.1711
m20overmaFEV1OFVC, m20overma,FEV1OFVC,90.024,-0.2186,80.925,0.2713
f18overbFEV1OFEV6, f18overb,FEV1OFEV6,91.229,-0.1558,81.396,0.1693
f18overbFEV1OFVC, f18overb,FEV1OFVC,91.655,-0.2039,80.978,0.2284
f18overcFEV1OFEV6, f18overc,FEV1OFEV6,90.107,-0.1563,81.307,0.3048
f18overcFEV1OFVC, f18overc,FEV1OFVC,90.809,-0.2125,81.015,0.3955
f18overmaFEV1OFEV6, f18overma,FEV1OFEV6,91.664,-0.167,83.034,0.2449
f18overmaFEV1OFVC, f18overma,FEV1OFVC,92.36,-0.2248,83.044,0.3352
mlt20bFEV1OFEV6, mlt20b,FEV1OFEV6,88.841,-0.1305,78.979,0.0937
mlt20bFEV1OFVC, mlt20b,FEV1OFVC,89.239,-0.1828,78.822,0.1538
mlt20cFEV1OFEV6, mlt20c,FEV1OFEV6,87.34,-0.1382,78.372,0.2151
mlt20cFEV1OFVC, mlt20c,FEV1OFVC,88.066,-0.2066,78.388,0.3448
mlt20maFEV1OFEV6, mlt20ma,FEV1OFEV6,89.388,-0.1534,80.81,0.1711
mlt20maFEV1OFVC, mlt20ma,FEV1OFVC,90.024,-0.2186,80.925,0.2713
flt18bFEV1OFEV6, flt18b,FEV1OFEV6,91.229,-0.1558,81.396,0.1693
flt18bFEV1OFVC, flt18b,FEV1OFVC,91.655,-0.2039,80.978,0.2284
flt18cFEV1OFEV6, flt18c,FEV1OFEV6,90.107,-0.1563,81.307,0.3048
flt18cFEV1OFVC, flt18c,FEV1OFVC,90.809,-0.2125,81.015,0.3955
flt18maFEV1OFEV6, flt18ma,FEV1OFEV6,91.664,-0.167,83.034,0.2449
flt18maFEV1OFVC, flt18ma,FEV1OFVC,92.36,-0.2248,83.044,0.3352
mallbFEV1OFEV6, mallb,FEV1OFEV6,88.841,-0.1305,78.979,0.0937
mallbFEV1OFVC, mallb,FEV1OFVC,89.239,-0.1828,78.822,0.1538
mallcFEV1OFEV6, mallc,FEV1OFEV6,87.34,-0.1382,78.372,0.2151
mallcFEV1OFVC, mallc,FEV1OFVC,88.066,-0.2066,78.388,0.3448
mallmaFEV1OFEV6, mallma,FEV1OFEV6,89.388,-0.1534,80.81,0.1711
mallmaFEV1OFVC, mallma,FEV1OFVC,90.024,-0.2186,80.925,0.2713
fallbFEV1OFEV6, fallb,FEV1OFEV6,91.229,-0.1558,81.396,0.1693
fallbFEV1OFVC, fallb,FEV1OFVC,91.655,-0.2039,80.978,0.2284
fallcFEV1OFEV6, fallc,FEV1OFEV6,90.107,-0.1563,81.307,0.3048
fallcFEV1OFVC, fallc,FEV1OFVC,90.809,-0.2125,81.015,0.3955
fallmaFEV1OFEV6, fallma,FEV1OFEV6,91.664,-0.167,83.034,0.2449
fallmaFEV1OFVC, fallma,FEV1OFVC,92.36,-0.2248,83.044,0.3352